Start Station Name,Month of Starttime,Number of Records
Dean St & 4 Ave,January,1575
Grand Army Plaza & Plaza St West,January,1259
Clinton Ave & Myrtle Ave,January,1652
Catherine St & Monroe St,January,1573
W 47 St & 6 Ave,January,1677
Riverside Blvd & W 67 St,January,1393
William St & Pine St,January,1527
Berry St & N 8 St,January,1644
W 100 St & Broadway,January,1638
Broadway & W 37 St,January,1877
E 51 St & 2 Ave,January,1661
Leonard St & Church St,January,1801
Lawrence St & Willoughby St,January,1602
Willoughby St & Fleet St,January,1812
Old Fulton St,January,1393
E 59 St & Madison Ave,January,1845
Bond St & Fulton St,January,1714
Riverside Dr & W 72 St,January,1385
Park Ave & E 124 St,January,1899
W 76 St & Columbus Ave,January,1642
Fulton St & William St,January,1724
W 95 St & Broadway,January,1669
E 43 St & 2 Ave,January,1763
Division St & Bowery,January,1422
Madison St & Clinton St,January,1776
Milton St & Franklin St,January,1628
W 84 St & Columbus Ave,January,1758
Hudson St & Reade St,January,1927
Front St & Washington St,January,1693
5 Ave & E 78 St,January,1650
Court St & State St,January,1885
E 51 St & 1 Ave,January,1643
Central Park North & Adam Clayton Powell Blvd,January,1512
Rivington St & Chrystie St,January,1853
Avenue D & E 3 St,January,1952
E 48 St & 3 Ave,January,2067
Lenox Ave & W 111 St,January,1607
Clark St & Henry St,January,2104
West Drive & Prospect Park West,January,1705
E 56 St & 3 Ave,January,2063
Driggs Ave & N 9 St,January,2002
Cliff St & Fulton St,January,2039
E 5 St & Avenue C,January,2060
E 74 St & 1 Ave,January,1950
Jay St & York St,January,2036
Avenue C & E 18 St,January,2010
E 41 St & Madison Ave,January,2149
Lexington Ave & E 36 St,January,1990
W 42 St & Dyer Ave,January,1907
Central Park West & W 76 St,January,1834
MacDougal St & Washington Sq,January,2058
Fulton St & Adams St,January,2113
E 53 St & Madison Ave,January,2193
6 Ave & Canal St,January,2275
W 42 St & 6 Ave,January,1904
Stanton St & Norfolk St,January,2097
Broadway & W 36 St,January,2090
E 51 St & Lexington Ave,January,2252
W 15 St & 10 Ave,January,2058
Central Park W & W 96 St,January,1863
Rivington St & Ridge St,January,1974
Bank St & Washington St,January,1995
Bayard St & Baxter St,January,2217
Broadway & Battery Pl,January,1563
W 89 St & Columbus Ave,January,2201
W 50 St & 9 Ave,January,2089
2 Ave & E 72 St,January,2103
S 4 St & Wythe Ave,January,1960
Mercer St & Spring St,January,2357
Kent Ave & N 7 St,January,1907
Wythe Ave & Metropolitan Ave,January,2210
Pike St & E Broadway,January,2254
Watts St & Greenwich St,January,2258
9 Ave & W 18 St,January,2264
W 64 St & Thelonious Monk Circle,January,2186
E 6 St & Avenue D,January,2265
Bergen St & Smith St,January,2230
West Thames St,January,1967
W Broadway & Spring St,January,2425
W 67 St & Broadway,January,2460
Barclay St & Church St,January,2590
Washington Pl & 6 Ave,January,2328
Amsterdam Ave & W 82 St,January,2245
Greenwich Ave & Charles St,January,2391
W 35 St & Dyer Ave,January,2381
W 54 St & 9 Ave,January,2139
Murray St & West St,January,2325
South St & Gouverneur Ln,January,2113
W 56 St & 10 Ave,January,2457
Sullivan St & Washington Sq,January,2674
E 45 St & 3 Ave,January,2570
E 47 St & 2 Ave,January,2488
Perry St & Bleecker St,January,2481
1 Ave & E 44 St,January,2507
W 40 St & 5 Ave,January,2598
W 70 St & Amsterdam Ave,January,2365
Washington Pl & Broadway,January,2299
E 10 St & 5 Ave,January,2418
W 52 St & 5 Ave,January,2670
E 85 St & 3 Ave,January,2246
4 Ave & E 12 St,January,2110
E 72 St & York Ave,January,2429
Bank St & Hudson St,January,2498
Little West St & 1 Pl,January,2035
1 Ave & E 5 St,January,2295
W 45 St & 6 Ave,January,2546
5 Ave & E 88 St,January,2069
W 53 St & 10 Ave,January,2293
Amsterdam Ave & W 79 St,January,2620
Columbus Ave & W 95 St,January,2246
Murray St & Greenwich St,January,2329
Hanson Pl & Ashland Pl,January,2772
Central Park West & W 85 St,January,2243
Howard St & Centre St,January,2706
E 16 St & Irving Pl,January,2899
5 Ave & E 73 St,January,2202
W 46 St & 11 Ave,January,2541
N 6 St & Bedford Ave,January,2730
Broadway & W 51 St,January,2914
W 44 St & 5 Ave,January,2798
W 63 St & Broadway,January,2762
W 59 St & 10 Ave,January,2549
S 5 Pl & S 5 St,January,2233
W 37 St & 5 Ave,January,2650
Fulton St & Broadway,January,2860
Greenwich St & W Houston St,January,2589
Lispenard St & Broadway,January,2966
Broadway & W 53 St,January,2753
Henry St & Grand St,January,2674
Stanton St & Chrystie St,January,2659
E 9 St & Avenue C,January,2744
Suffolk St & Stanton St,January,2595
E 19 St & 3 Ave,January,2765
E 2 St & Avenue C,January,2749
E 58 St & 3 Ave,January,2825
Broadway & W 38 St,January,2975
E 27 St & 1 Ave,January,2783
E 30 St & Park Ave S,January,2905
Lexington Ave & E 29 St,January,2696
Forsyth St & Canal St,January,2801
1 Ave & E 30 St,January,2863
E 43 St & 5 Ave,January,3111
W 26 St & 10 Ave,January,3032
Central Park West & W 68 St,January,2610
E 11 St & Avenue B,January,2930
Mott St & Prince St,January,2875
W 16 St & The High Line,January,2970
Metropolitan Ave & Bedford Ave,January,2859
E 55 St & 2 Ave,January,2785
E 25 St & 1 Ave,January,3133
W 11 St & 6 Ave,January,2973
W 52 St & 11 Ave,January,2698
Forsyth St & Broome St,January,3175
W 55 St & 6 Ave,January,3058
W 37 St & 10 Ave,January,2862
E 20 St & FDR Drive,January,3053
9 Ave & W 28 St,January,2892
W 20 St & 8 Ave,January,2978
Pier 40 - Hudson River Park,January,2313
Liberty St & Broadway,January,3130
Centre St & Chambers St,January,3089
W 13 St & 5 Ave,January,3013
Allen St & Rivington St,January,3098
Central Park West & W 72 St,January,2767
7 Ave & Central Park South,January,2909
W 47 St & 10 Ave,January,3171
W 43 St & 10 Ave,January,3198
Allen St & Hester St,January,3184
E 2 St & 2 Ave,January,3303
Mercer St & Bleecker St,January,3165
W 45 St & 8 Ave,January,3294
W 15 St & 6 Ave,January,3205
LaGuardia Pl & W 3 St,January,2843
1 Ave & E 62 St,January,3237
1 Ave & E 78 St,January,3061
W 42 St & 8 Ave,January,3406
6 Ave & Broome St,January,3154
E 33 St & 5 Ave,January,3492
Gansevoort St & Hudson St,January,3283
University Pl & E 8 St,January,2840
E 12 St & 3 Ave,January,3133
E 53 St & Lexington Ave,January,3378
E 48 St & 5 Ave,January,3632
W 34 St & 11 Ave,January,3475
Norfolk St & Broome St,January,3352
St Marks Pl & 1 Ave,January,3466
11 Ave & W 59 St,January,3300
11 Ave & W 27 St,January,3688
Washington St & Gansevoort St,January,3418
W 13 St & 7 Ave,January,3459
Allen St & Stanton St,January,3479
E 2 St & Avenue B,January,3454
E 39 St & 3 Ave,January,3620
St Marks Pl & 2 Ave,January,3459
W 49 St & 8 Ave,January,3431
Grand Army Plaza & Central Park S,January,3410
E 20 St & Park Ave,January,3774
6 Ave & W 34 St,January,3708
MacDougal St & Prince St,January,3716
9 Ave & W 45 St,January,3514
Canal St & Rutgers St,January,3789
8 Ave & W 52 St,January,3563
W 25 St & 6 Ave,January,3757
W 20 St & 7 Ave,January,3810
Vesey Pl & River Terrace,January,3695
Central Park S & 6 Ave,January,3421
E 6 St & Avenue B,January,3741
Lafayette St & Jersey St,January,3769
FDR Drive & E 35 St,January,3567
E 4 St & 2 Ave,January,3726
E 11 St & 1 Ave,January,3770
E 31 St & 3 Ave,January,3689
E 2 St & Avenue A,January,3859
11 Ave & W 41 St,January,3604
W 52 St & 6 Ave,January,4087
5 Ave & E 29 St,January,3954
W 15 St & 7 Ave,January,3865
E 11 St & 2 Ave,January,3845
E 23 St & 1 Ave,January,3896
W 4 St & 7 Ave S,January,3772
Clinton St & Grand St,January,3721
E 10 St & Avenue A,January,3749
W 22 St & 8 Ave,January,4149
Barrow St & Hudson St,January,3975
South End Ave & Liberty St,January,3791
E 15 St & 3 Ave,January,4131
W 18 St & 6 Ave,January,4357
2 Ave & E 31 St,January,4098
E 39 St & 2 Ave,January,4169
E 7 St & Avenue A,January,4099
Broadway & W 49 St,January,4130
Broadway & W 29 St,January,4380
E 16 St & 5 Ave,January,4298
W 22 St & 10 Ave,January,4175
Amsterdam Ave & W 73 St,January,3999
Cleveland Pl & Spring St,January,4169
North Moore St & Greenwich St,January,4175
Columbus Ave & W 72 St,January,4344
E 25 St & 2 Ave,January,4218
E 24 St & Park Ave S,January,4491
W 26 St & 8 Ave,January,4442
Great Jones St,January,4636
E 20 St & 2 Ave,January,4543
9 Ave & W 22 St,January,4276
1 Ave & E 18 St,January,4465
Carmine St & 6 Ave,January,4487
E 33 St & 1 Ave,January,4496
Pershing Square South,January,4999
12 Ave & W 40 St,January,3900
W 27 St & 7 Ave,January,4744
10 Ave & W 28 St,January,4835
1 Ave & E 68 St,January,4480
W 17 St & 8 Ave,January,4941
Cooper Square & Astor Pl,January,4698
E 32 St & Park Ave,January,4892
Broadway & W 41 St,January,5363
W 24 St & 7 Ave,January,4736
Greenwich Ave & 8 Ave,January,4887
1 Ave & E 16 St,January,4835
Lexington Ave & E 26 St,January,4778
W 33 St & 7 Ave,January,5367
Grand St & Elizabeth St,January,4899
West St & Chambers St,January,4566
W 38 St & 8 Ave,January,5611
Lafayette St & E 8 St,January,5492
W 31 St & 7 Ave,January,5907
University Pl & E 14 St,January,5516
Broadway & W 56 St,January,5794
W 20 St & 11 Ave,January,6022
Broadway & W 25 St,January,5742
E 47 St & Park Ave,January,6191
Christopher St & Greenwich St,January,5782
Broadway & W 60 St,January,5420
E 13 St & Avenue A,January,5854
Broadway & E 14 St,January,6048
8 Ave & W 33 St,January,6565
W 41 St & 8 Ave,January,6438
6 Ave & W 33 St,January,6633
Broadway & E 22 St,January,7310
E 17 St & Broadway,January,7447
8 Ave & W 31 St,January,7851
W 21 St & 6 Ave,January,7809
Pershing Square North,January,10734
